Crime_ID,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
72,14068934,JJ537998,12/26/2025 09:30:00 PM,026XX W ARMITAGE AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,1421,14.0,1.0,22.0,06,1158162.0,1913181.0,2025,01/03/2026 03:41:35 PM,41.917517103,-87.694336497,"(41.917517103, -87.694336497)"
73,14066711,JJ535705,12/26/2025 09:30:00 PM,046XX W HARRISON ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,1131,11.0,24.0,25.0,03,1145587.0,1896953.0,2025,01/03/2026 03:41:35 PM,41.873233477,-87.740949419,"(41.873233477, -87.740949419)"
74,14067270,JJ536350,12/26/2025 09:30:00 PM,014XX W CATALPA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2013,20.0,48.0,77.0,07,1165702.0,1936631.0,2025,01/03/2026 03:41:35 PM,41.981707483,-87.665963536,"(41.981707483, -87.665963536)"
75,14067634,JJ536024,12/26/2025 09:30:00 PM,027XX W 38TH ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,911,9.0,12.0,58.0,06,1158731.0,1879340.0,2025,01/03/2026 03:41:35 PM,41.824642421,-87.693173215,"(41.824642421, -87.693173215)"
76,14066690,JJ535700,12/26/2025 09:26:00 PM,050XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,933,9.0,20.0,61.0,08B,1166528.0,1871242.0,2025,01/03/2026 03:41:35 PM,41.802257631,-87.664799461,"(41.802257631, -87.664799461)"
77,14066661,JJ535729,12/26/2025 09:25:00 PM,076XX S CICERO AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,RESTAURANT,False,False,833,8.0,18.0,65.0,04B,1145727.0,1853720.0,2025,01/03/2026 03:41:35 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
78,14066658,JJ535716,12/26/2025 09:25:00 PM,006XX W 119TH ST,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,524,5.0,21.0,53.0,18,1174019.0,1825966.0,2025,01/03/2026 03:41:35 PM,41.67785121,-87.638667261,"(41.67785121, -87.638667261)"
79,14066668,JJ535720,12/26/2025 09:24:00 PM,006XX N TROY ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,1221,12.0,27.0,23.0,18,1155263.0,1904069.0,2025,01/03/2026 03:41:35 PM,41.892571747,-87.705232663,"(41.892571747, -87.705232663)"
80,14066670,JJ535702,12/26/2025 09:18:00 PM,0000X W 87TH ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,CTA TRAIN,False,False,634,6.0,21.0,44.0,03,1177549.0,1847286.0,2025,01/03/2026 03:41:35 PM,41.736277427,-87.62510451,"(41.736277427, -87.62510451)"
81,14066675,JJ535696,12/26/2025 09:14:00 PM,032XX W 23RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,1024,10.0,25.0,30.0,14,1154948.0,1888527.0,2025,01/03/2026 03:41:35 PM,41.84992918,-87.706806157,"(41.84992918, -87.706806157)"
82,14070010,JJ539682,12/26/2025 09:12:00 PM,026XX W 83RD PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,835,8.0,18.0,70.0,26,1160238.0,1849172.0,2025,01/03/2026 03:41:35 PM,41.741826323,-87.688474502,"(41.741826323, -87.688474502)"
83,14066934,JJ536068,12/26/2025 09:00:00 PM,111XX S STATE LINE RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,False,433,4.0,10.0,52.0,07,1205114.0,1831789.0,2025,01/03/2026 03:41:35 PM,41.693085718,-87.524651359,"(41.693085718, -87.524651359)"
84,14066938,JJ536042,12/26/2025 09:00:00 PM,080XX S SAWYER AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,834,8.0,18.0,70.0,06,1156112.0,1851122.0,2025,01/03/2026 03:41:35 PM,41.747261295,-87.703539894,"(41.747261295, -87.703539894)"
85,14066625,JJ535694,12/26/2025 09:00:00 PM,008XX N LAVERGNE AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1531,15.0,37.0,25.0,18,1142872.0,1905009.0,2025,01/03/2026 03:41:35 PM,41.895391106,-87.750716824,"(41.895391106, -87.750716824)"
86,14068855,JJ538279,12/26/2025 09:00:00 PM,057XX N MOZART ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2011,20.0,50.0,2.0,07,1156319.0,1937851.0,2025,01/03/2026 03:41:35 PM,41.985250645,-87.700438415,"(41.985250645, -87.700438415)"
